phenotype,environment,method,threshold
female_flowering_d6,BLOIS_2014_OPT,haplotype_probs,5.17107595402067
female_flowering_d6,BLOIS_2014_OPT,founder_probs,4.66712846261388
female_flowering_d6,BLOIS_2014_OPT,600K_SNP,6.29535129827749
female_flowering_d6,BLOIS_2017_OPT,haplotype_probs,4.93885672252195
female_flowering_d6,BLOIS_2017_OPT,founder_probs,4.36137987671811
female_flowering_d6,BLOIS_2017_OPT,600K_SNP,6.18320501173783
female_flowering_d6,GRANEROS_2015_OPT,haplotype_probs,5.25093328539925
female_flowering_d6,GRANEROS_2015_OPT,founder_probs,4.64686172350061
female_flowering_d6,GRANEROS_2015_OPT,600K_SNP,6.3494248623066
female_flowering_d6,NERAC_2016_WD,haplotype_probs,4.92887409258219
female_flowering_d6,NERAC_2016_WD,founder_probs,4.41171525373302
female_flowering_d6,NERAC_2016_WD,600K_SNP,6.07379423847621
female_flowering_d6,STPAUL_2017_WD,haplotype_probs,4.87531323236178
female_flowering_d6,STPAUL_2017_WD,founder_probs,4.35651734183866
female_flowering_d6,STPAUL_2017_WD,600K_SNP,6.07374963662044
female_flowering_d6,SZEGED_2017_OPT,haplotype_probs,4.85795508633365
female_flowering_d6,SZEGED_2017_OPT,founder_probs,4.33065582249302
female_flowering_d6,SZEGED_2017_OPT,600K_SNP,6.06906125769901
female_flowering_d6,ALL,haplotype_probs,5.40222502143307
female_flowering_d6,ALL,founder_probs,4.58557722643036
female_flowering_d6,ALL,600K_SNP,6.23421498831307
male_flowering_d6,BLOIS_2014_OPT,haplotype_probs,5.150751145069
male_flowering_d6,BLOIS_2014_OPT,founder_probs,4.64603323577946
male_flowering_d6,BLOIS_2014_OPT,600K_SNP,6.13943578081287
male_flowering_d6,BLOIS_2017_OPT,haplotype_probs,5.0366162746567
male_flowering_d6,BLOIS_2017_OPT,founder_probs,4.39194452342691
male_flowering_d6,BLOIS_2017_OPT,600K_SNP,6.18277191573896
male_flowering_d6,GRANEROS_2015_OPT,haplotype_probs,5.06927398137749
male_flowering_d6,GRANEROS_2015_OPT,founder_probs,4.60907523323442
male_flowering_d6,GRANEROS_2015_OPT,600K_SNP,6.11236618314678
male_flowering_d6,NERAC_2016_WD,haplotype_probs,5.06498368072857
male_flowering_d6,NERAC_2016_WD,founder_probs,4.50046810093599
male_flowering_d6,NERAC_2016_WD,600K_SNP,6.20611682650219
male_flowering_d6,STPAUL_2017_WD,haplotype_probs,4.91851343481195
male_flowering_d6,STPAUL_2017_WD,founder_probs,4.34035936990098
male_flowering_d6,STPAUL_2017_WD,600K_SNP,6.17418532842817
male_flowering_d6,SZEGED_2017_OPT,haplotype_probs,4.90911319809279
male_flowering_d6,SZEGED_2017_OPT,founder_probs,4.30505382029022
male_flowering_d6,SZEGED_2017_OPT,600K_SNP,6.06518129623476
male_flowering_d6,ALL,haplotype_probs,5.44232209198323
male_flowering_d6,ALL,founder_probs,4.8357739164981
male_flowering_d6,ALL,600K_SNP,6.10053720071587
female_flowering_days,BLOIS_2014_OPT,haplotype_probs,5.17223385959752
female_flowering_days,BLOIS_2014_OPT,founder_probs,4.65396826644434
female_flowering_days,BLOIS_2014_OPT,600K_SNP,6.19813247717122
female_flowering_days,GRANEROS_2015_OPT,haplotype_probs,5.11057651513397
female_flowering_days,GRANEROS_2015_OPT,founder_probs,4.57974195279234
female_flowering_days,GRANEROS_2015_OPT,600K_SNP,6.38180197658661
female_flowering_days,NERAC_2016_WD,haplotype_probs,4.82768134606286
female_flowering_days,NERAC_2016_WD,founder_probs,4.31670109842895
female_flowering_days,NERAC_2016_WD,600K_SNP,6.05092105224198
female_flowering_days,ALL,haplotype_probs,5.27457446965537
