Genotype_code,Loc.Year.Treat
EB.09S.H.00002,BLOIS_2014_OPT
EB.09S.H.00004,BLOIS_2014_OPT
EB.09S.H.00005,BLOIS_2014_OPT
EB.09S.H.00007,BLOIS_2014_OPT
EB.09S.H.00008,BLOIS_2014_OPT
EB.09S.H.00009,BLOIS_2014_OPT
EB.09S.H.00015,BLOIS_2014_OPT
EB.09S.H.00016,BLOIS_2014_OPT
EB.09S.H.00017,BLOIS_2014_OPT
EB.09S.H.00019,BLOIS_2014_OPT
EB.09S.H.00027,BLOIS_2014_OPT
EB.09S.H.00030,BLOIS_2014_OPT
EB.09S.H.00039,BLOIS_2014_OPT
EB.09S.H.00040,BLOIS_2014_OPT
EB.09S.H.00041,BLOIS_2014_OPT
EB.09S.H.00043,BLOIS_2014_OPT
EB.09S.H.00044,BLOIS_2014_OPT
EB.09S.H.00045,BLOIS_2014_OPT
EB.09S.H.00046,BLOIS_2014_OPT
EB.09S.H.00048,BLOIS_2014_OPT
EB.09S.H.00049,BLOIS_2014_OPT
EB.09S.H.00052,BLOIS_2014_OPT
EB.09S.H.00054,BLOIS_2014_OPT
EB.09S.H.00061,BLOIS_2014_OPT
EB.09S.H.00064,BLOIS_2014_OPT
EB.09S.H.00065,BLOIS_2014_OPT
EB.09S.H.00071,BLOIS_2014_OPT
EB.09S.H.00072,BLOIS_2014_OPT
EB.09S.H.00074,BLOIS_2014_OPT
EB.09S.H.00076,BLOIS_2014_OPT
EB.09S.H.00080,BLOIS_2014_OPT
EB.09S.H.00081,BLOIS_2014_OPT
EB.09S.H.00083,BLOIS_2014_OPT
EB.09S.H.00084,BLOIS_2014_OPT
EB.09S.H.00086,BLOIS_2014_OPT
EB.09S.H.00087,BLOIS_2014_OPT
EB.09S.H.00093,BLOIS_2014_OPT
EB.09S.H.00094,BLOIS_2014_OPT
EB.09S.H.00097,BLOIS_2014_OPT
EB.09S.H.00098,BLOIS_2014_OPT
EB.09S.H.00100,BLOIS_2014_OPT
EB.09S.H.00101,BLOIS_2014_OPT
EB.09S.H.00106,BLOIS_2014_OPT
EB.09S.H.00107,BLOIS_2014_OPT
EB.09S.H.00108,BLOIS_2014_OPT
EB.09S.H.00111,BLOIS_2014_OPT
EB.09S.H.00112,BLOIS_2014_OPT
EB.09S.H.00114,BLOIS_2014_OPT
EB.09S.H.00116,BLOIS_2014_OPT
EB.09S.H.00118,BLOIS_2014_OPT
EB.09S.H.00122,BLOIS_2014_OPT
EB.09S.H.00130,BLOIS_2014_OPT
EB.09S.H.00132,BLOIS_2014_OPT
EB.09S.H.00133,BLOIS_2014_OPT
EB.09S.H.00135,BLOIS_2014_OPT
EB.09S.H.00136,BLOIS_2014_OPT
EB.09S.H.00142,BLOIS_2014_OPT
EB.09S.H.00144,BLOIS_2014_OPT
EB.09S.H.00145,BLOIS_2014_OPT
EB.09S.H.00149,BLOIS_2014_OPT
EB.09S.H.00155,BLOIS_2014_OPT
EB.09S.H.00157,BLOIS_2014_OPT
EB.09S.H.00160,BLOIS_2014_OPT
EB.09S.H.00161,BLOIS_2014_OPT
EB.09S.H.00168,BLOIS_2014_OPT
EB.09S.H.00171,BLOIS_2014_OPT
EB.09S.H.00172,BLOIS_2014_OPT
EB.09S.H.00175,BLOIS_2014_OPT
EB.09S.H.00178,BLOIS_2014_OPT
EB.09S.H.00179,BLOIS_2014_OPT
EB.09S.H.00183,BLOIS_2014_OPT
EB.09S.H.00185,BLOIS_2014_OPT
EB.09S.H.00188,BLOIS_2014_OPT
EB.09S.H.00191,BLOIS_2014_OPT
EB.09S.H.00192,BLOIS_2014_OPT
EB.09S.H.00193,BLOIS_2014_OPT
EB.09S.H.00194,BLOIS_2014_OPT
EB.09S.H.00198,BLOIS_2014_OPT
EB.09S.H.00199,BLOIS_2014_OPT
EB.09S.H.00201,BLOIS_2014_OPT
EB.09S.H.00204,BLOIS_2014_OPT
EB.09S.H.00205,BLOIS_2014_OPT
EB.09S.H.00209,BLOIS_2014_OPT
EB.09S.H.00216,BLOIS_2014_OPT
EB.09S.H.00223,BLOIS_2014_OPT
EB.09S.H.00224,BLOIS_2014_OPT
EB.09S.H.00225,BLOIS_2014_OPT
EB.09S.H.00226,BLOIS_2014_OPT
EB.09S.H.00232,BLOIS_2014_OPT
EB.09S.H.00235,BLOIS_2014_OPT
EB.09S.H.00238,BLOIS_2014_OPT
EB.09S.H.00240,BLOIS_2014_OPT
EB.09S.H.00242,BLOIS_2014_OPT
EB.09S.H.00243,BLOIS_2014_OPT
EB.09S.H.00245,BLOIS_2014_OPT
EB.09S.H.00246,BLOIS_2014_OPT
EB.09S.H.00250,BLOIS_2014_OPT
EB.09S.H.00251,BLOIS_2014_OPT
EB.09S.H.00253,BLOIS_2014_OPT
EB.09S.H.00254,BLOIS_2014_OPT
EB.09S.H.00257,BLOIS_2014_OPT
EB.09S.H.00263,BLOIS_2014_OPT
EB.09S.H.00264,BLOIS_2014_OPT
EB.09S.H.00265,BLOIS_2014_OPT
EB.09S.H.00266,BLOIS_2014_OPT
EB.09S.H.00267,BLOIS_2014_OPT
EB.09S.H.00273,BLOIS_2014_OPT
EB.09S.H.00277,BLOIS_2014_OPT
EB.09S.H.00278,BLOIS_2014_OPT
EB.09S.H.00283,BLOIS_2014_OPT
EB.09S.H.00284,BLOIS_2014_OPT
EB.09S.H.00287,BLOIS_2014_OPT
EB.09S.H.00290,BLOIS_2014_OPT
EB.09S.H.00291,BLOIS_2014_OPT
EB.09S.H.00292,BLOIS_2014_OPT
EB.09S.H.00294,BLOIS_2014_OPT
EB.09S.H.00297,BLOIS_2014_OPT
EB.09S.H.00300,BLOIS_2014_OPT
EB.09S.H.00306,BLOIS_2014_OPT
EB.09S.H.00309,BLOIS_2014_OPT
EB.09S.H.00315,BLOIS_2014_OPT
EB.09S.H.00316,BLOIS_2014_OPT
EB.09S.H.00318,BLOIS_2014_OPT
EB.09S.H.00322,BLOIS_2014_OPT
EB.09S.H.00325,BLOIS_2014_OPT
EB.09S.H.00326,BLOIS_2014_OPT
EB.09S.H.00328,BLOIS_2014_OPT
EB.09S.H.00329,BLOIS_2014_OPT
EB.09S.H.00331,BLOIS_2014_OPT
EB.09S.H.00334,BLOIS_2014_OPT
EB.09S.H.00335,BLOIS_2014_OPT
EB.09S.H.00336,BLOIS_2014_OPT
EB.09S.H.00340,BLOIS_2014_OPT
EB.09S.H.00341,BLOIS_2014_OPT
EB.09S.H.00348,BLOIS_2014_OPT
EB.09S.H.00349,BLOIS_2014_OPT
EB.09S.H.00352,BLOIS_2014_OPT
EB.09S.H.00353,BLOIS_2014_OPT
EB.09S.H.00356,BLOIS_2014_OPT
EB.09S.H.00357,BLOIS_2014_OPT
EB.09S.H.00359,BLOIS_2014_OPT
EB.09S.H.00360,BLOIS_2014_OPT
EB.09S.H.00362,BLOIS_2014_OPT
EB.09S.H.00364,BLOIS_2014_OPT
EB.09S.H.00368,BLOIS_2014_OPT
EB.09S.H.00372,BLOIS_2014_OPT
EB.09S.H.00373,BLOIS_2014_OPT
EB.09S.H.00374,BLOIS_2014_OPT
EB.09S.H.00377,BLOIS_2014_OPT
EB.09S.H.00378,BLOIS_2014_OPT
EB.09S.H.00382,BLOIS_2014_OPT
EB.09S.H.00383,BLOIS_2014_OPT
EB.09S.H.00385,BLOIS_2014_OPT
EB.09S.H.00388,BLOIS_2014_OPT
EB.09S.H.00389,BLOIS_2014_OPT
EB.09S.H.00390,BLOIS_2014_OPT
EB.09S.H.00393,BLOIS_2014_OPT
EB.09S.H.00394,BLOIS_2014_OPT
EB.09S.H.00398,BLOIS_2014_OPT
EB.09S.H.00399,BLOIS_2014_OPT
EB.09S.H.00402,BLOIS_2014_OPT
EB.09S.H.00404,BLOIS_2014_OPT
EB.09S.H.00407,BLOIS_2014_OPT
EB.09S.H.00409,BLOIS_2014_OPT
EB.09S.H.00410,BLOIS_2014_OPT
EB.09S.H.00413,BLOIS_2014_OPT
EB.09S.H.00414,BLOIS_2014_OPT
EB.09S.H.00416,BLOIS_2014_OPT
EB.09S.H.00417,BLOIS_2014_OPT
EB.09S.H.00418,BLOIS_2014_OPT
EB.09S.H.00419,BLOIS_2014_OPT
EB.09S.H.00421,BLOIS_2014_OPT
EB.09S.H.00424,BLOIS_2014_OPT
EB.09S.H.00425,BLOIS_2014_OPT
EB.09S.H.00426,BLOIS_2014_OPT
EB.09S.H.00427,BLOIS_2014_OPT
EB.09S.H.00429,BLOIS_2014_OPT
EB.09S.H.00433,BLOIS_2014_OPT
EB.09S.H.00436,BLOIS_2014_OPT
EB.09S.H.00439,BLOIS_2014_OPT
EB.09S.H.00444,BLOIS_2014_OPT
EB.09S.H.00445,BLOIS_2014_OPT
EB.09S.H.00446,BLOIS_2014_OPT
EB.09S.H.00448,BLOIS_2014_OPT
EB.09S.H.00451,BLOIS_2014_OPT
EB.09S.H.00453,BLOIS_2014_OPT
EB.09S.H.00454,BLOIS_2014_OPT
EB.09S.H.00455,BLOIS_2014_OPT
EB.09S.H.00457,BLOIS_2014_OPT
EB.09S.H.00465,BLOIS_2014_OPT
EB.09S.H.00469,BLOIS_2014_OPT
