ind,A632_usa,B73_inra,CO255_inra,FV252_inra,OH43_inra,A654_inra,FV2_inra,C103_inra,EP1_inra,D105_inra,W117_inra,B96,DK63,F492,ND245,VA85
EB.09S.H.00002,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00003,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00004,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00005,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00007,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00008,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00009,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00013,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00015,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00016,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00017,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00019,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00027,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00030,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00039,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00040,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00041,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00043,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00044,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00045,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00046,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00048,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00049,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00052,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00054,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00061,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00063,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00064,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00065,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00071,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00072,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00073,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00074,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
