ind	AX-91100991
EB.09S.H.00002	1
EB.09S.H.00003	0
EB.09S.H.00004	1
EB.09S.H.00005	0
EB.09S.H.00007	0
EB.09S.H.00008	1
EB.09S.H.00009	0
EB.09S.H.00013	0
EB.09S.H.00015	0
EB.09S.H.00016	1
EB.09S.H.00017	1
EB.09S.H.00019	0
EB.09S.H.00027	0
EB.09S.H.00030	1
EB.09S.H.00039	1
EB.09S.H.00040	1
EB.09S.H.00041	0
EB.09S.H.00043	1
EB.09S.H.00044	1
EB.09S.H.00045	1
EB.09S.H.00046	0
EB.09S.H.00048	1
EB.09S.H.00049	1
EB.09S.H.00052	0
EB.09S.H.00054	0
EB.09S.H.00061	0
EB.09S.H.00063	1
EB.09S.H.00064	1
EB.09S.H.00065	1
EB.09S.H.00071	0
EB.09S.H.00072	0
EB.09S.H.00073	1
EB.09S.H.00074	1
EB.09S.H.00075	0
EB.09S.H.00076	0
EB.09S.H.00079	0
EB.09S.H.00080	1
EB.09S.H.00081	1
EB.09S.H.00082	1
EB.09S.H.00083	1
EB.09S.H.00084	1
EB.09S.H.00086	1
EB.09S.H.00087	0
EB.09S.H.00090	1
EB.09S.H.00091	1
EB.09S.H.00093	1
EB.09S.H.00094	1
EB.09S.H.00097	1
EB.09S.H.00098	1
EB.09S.H.00100	1
EB.09S.H.00101	1
EB.09S.H.00106	1
EB.09S.H.00107	1
EB.09S.H.00108	0
EB.09S.H.00111	1
EB.09S.H.00112	1
EB.09S.H.00114	1
EB.09S.H.00115	1
EB.09S.H.00116	1
EB.09S.H.00118	1
EB.09S.H.00119	1
EB.09S.H.00122	0
EB.09S.H.00130	0
EB.09S.H.00132	1
EB.09S.H.00133	0
EB.09S.H.00134	1
EB.09S.H.00135	1
EB.09S.H.00136	1
EB.09S.H.00137	1
EB.09S.H.00140	0
EB.09S.H.00142	0
EB.09S.H.00144	1
EB.09S.H.00145	1
EB.09S.H.00149	0
EB.09S.H.00155	1
EB.09S.H.00157	1
EB.09S.H.00160	1
EB.09S.H.00161	0
EB.09S.H.00165	1
EB.09S.H.00168	0
EB.09S.H.00169	1
EB.09S.H.00171	0
EB.09S.H.00172	0
EB.09S.H.00175	0
EB.09S.H.00178	1
EB.09S.H.00179	0
EB.09S.H.00183	0
EB.09S.H.00185	1
EB.09S.H.00188	1
EB.09S.H.00191	0
EB.09S.H.00192	0
EB.09S.H.00193	1
EB.09S.H.00194	0
EB.09S.H.00195	1
EB.09S.H.00198	1
EB.09S.H.00199	1
EB.09S.H.00201	1
EB.09S.H.00204	0
EB.09S.H.00205	0
EB.09S.H.00206	1
EB.09S.H.00207	1
EB.09S.H.00208	1
EB.09S.H.00209	1
EB.09S.H.00210	1
EB.09S.H.00215	1
EB.09S.H.00216	1
EB.09S.H.00223	1
EB.09S.H.00224	1
EB.09S.H.00225	0
EB.09S.H.00226	1
EB.09S.H.00227	1
EB.09S.H.00232	0
EB.09S.H.00235	1
EB.09S.H.00238	1
EB.09S.H.00239	0
EB.09S.H.00240	0
EB.09S.H.00241	1
EB.09S.H.00242	1
EB.09S.H.00243	1
EB.09S.H.00245	1
EB.09S.H.00246	1
EB.09S.H.00247	1
EB.09S.H.00250	1
EB.09S.H.00251	1
EB.09S.H.00253	1
EB.09S.H.00254	1
EB.09S.H.00255	1
EB.09S.H.00257	0
EB.09S.H.00263	0
EB.09S.H.00264	1
EB.09S.H.00265	1
EB.09S.H.00266	0
EB.09S.H.00267	0
EB.09S.H.00273	0
EB.09S.H.00277	0
EB.09S.H.00278	1
EB.09S.H.00283	0
EB.09S.H.00284	0
EB.09S.H.00286	0
EB.09S.H.00287	0
EB.09S.H.00290	1
EB.09S.H.00291	0
EB.09S.H.00292	0
EB.09S.H.00294	0
EB.09S.H.00295	0
EB.09S.H.00296	0
EB.09S.H.00297	0
EB.09S.H.00299	0
EB.09S.H.00300	0
EB.09S.H.00306	1
EB.09S.H.00309	1
EB.09S.H.00310	1
EB.09S.H.00315	0
EB.09S.H.00316	1
EB.09S.H.00318	1
EB.09S.H.00319	1
EB.09S.H.00322	1
EB.09S.H.00324	1
EB.09S.H.00325	0
EB.09S.H.00326	1
EB.09S.H.00328	1
EB.09S.H.00329	1
EB.09S.H.00331	1
EB.09S.H.00334	1
EB.09S.H.00335	1
EB.09S.H.00336	0
EB.09S.H.00340	1
EB.09S.H.00341	1
EB.09S.H.00348	0
EB.09S.H.00349	1
EB.09S.H.00352	1
EB.09S.H.00353	0
EB.09S.H.00355	0
EB.09S.H.00356	0
EB.09S.H.00357	1
EB.09S.H.00359	1
EB.09S.H.00360	1
EB.09S.H.00362	1
