marker,chr,pos
AX-91849884,4,0
AX-91217553,4,0
PZE-104000008,4,0
AX-91596837,4,0
AX-91596840,4,0
PZE-104000024,4,0
PZE-104000027,4,0
AX-90594076,4,0
AX-91451157,4,0
AX-90855468,4,0
AX-91596842,4,0
AX-90855479,4,0
PZE-104000045,4,0
AX-91596846,4,0
AX-91596845,4,0
AX-90855474,4,0
AX-91392750,4,0
AX-91596851,4,0
AX-90855476,4,0
AX-90855475,4,0
AX-90855478,4,0
AX-90855477,4,0
AX-90855485,4,0
AX-91596848,4,0
AX-91596853,4,0
AX-90855481,4,0
AX-90855480,4,0
AX-91596839,4,0
AX-90855465,4,0
AX-90855464,4,0
AX-91596855,4,0
AX-90855469,4,0
AX-90855508,4,0
AX-91596864,4,0
AX-90855506,4,0
AX-90855512,4,0
AX-91217555,4,0
AX-90855502,4,0
AX-90855501,4,0
AX-91596863,4,0
AX-90855507,4,0
AX-91849885,4,0
AX-90855497,4,0
AX-90594469,4,0
AX-90855489,4,0
SYN9765,4,0
PZA03013.8,4,0
SYN9766,4,0
AX-90855491,4,0
PZE-104000116,4,0
AX-91217556,4,0
AX-90855516,4,0
AX-90855517,4,0
AX-91596899,4,0
PZE-104000178,4,0.434762254865185
AX-91596890,4,0.434825273455669
AX-90855539,4,0.485618257385929
AX-91596894,4,0.486476510570618
AX-90855549,4,0.489432382552853
AX-91596921,4,0.931216795640513
AX-91596932,4,0.932993389022703
AX-90855607,4,0.953873486052034
AX-90617393,4,0.954995814755975
AX-91451575,4,0.957194349066434
AX-91451574,4,0.957329301832966
PZE-104000239,4,0.957882779002033
PZE-104000245,4,0.958176600215241
AX-90855599,4,0.95834742650199
AX-90855616,4,0.97245596952459
AX-90855612,4,1.16072415411084
AX-91596937,4,1.16094312079662
AX-90855594,4,1.16102914342318
AX-90855611,4,1.16220999947865
PZE-104000272,4,1.17345028934883
AX-90855591,4,1.17487096606016
AX-90855609,4,1.17537146134195
AX-90855608,4,1.17546269746103
AX-90855590,4,1.17589802408634
AX-90855605,4,1.17748813930452
AX-90855589,4,1.18145821385746
AX-90855588,4,1.18163286585684
AX-90855640,4,1.20419870450627
PZE-104000300,4,1.20472296006338
PZE-104000308,4,1.20647047858707
AX-90575049,4,1.20851624027215
AX-91440475,4,1.20857216086491
AX-91440476,4,1.20880283331003
AX-90855618,4,1.21037093993196
AX-90855642,4,1.21077869425416
AX-90855631,4,1.2199729717135
AX-91596957,4,1.22113332401323
AX-90855644,4,1.22148981779207
AX-91596958,4,1.22205135374435
AX-91596967,4,1.22221678549793
AX-90855641,4,1.22230299641176
AX-90855629,4,1.22275502120322
AX-90855643,4,1.22344470851391
AX-91596966,4,1.22419730649145
AX-91596960,4,1.22484738338226
AX-91596965,4,1.22510135607437
AX-90855646,4,1.23047206300387
AX-91596972,4,1.2305629339671
AX-90855633,4,1.23116175031455
AX-91217559,4,1.28054895381891
AX-90855630,4,1.28137844261149
AX-91596961,4,1.36607018034391
AX-91596969,4,1.36754042592851
AX-90855632,4,1.36901999161191
PZE-104000354,4,1.3738641129596
AX-90855627,4,1.45809886783993
PZE-104000379,4,1.46640137503269
AX-90855620,4,1.47338489705937
AX-91437789,4,1.47665059970855
SYN33197,4,1.48298770690879
SYN33200,4,1.48329410006352
