chrom	start	end	B73_inra	A632_usa	CO255_inra	FV252_inra	OH43_inra	A654_inra	FV2_inra	C103_inra	EP1_inra	D105_inra	W117_inra	B96	DK63	F492	ND245	VA85	n_haps
8	170780	557126	1	2	3	4	5	6	7	8	9	10	4	11	12	13	14	2	14
8	557126	718856	1	2	3	4	5	6	7	8	9	10	4	11	2	12	4	2	12
8	718856	910025	1	2	3	4	5	6	7	8	9	10	11	12	2	13	4	2	13
8	910025	1080132	1	2	3	4	5	6	7	8	9	10	11	12	13	14	4	2	14
8	1080132	1242332	1	2	3	4	5	6	7	8	9	10	11	12	13	14	4	15	15
8	1242332	1455293	1	2	3	4	5	6	7	1	8	9	10	11	12	13	4	14	14
8	1455293	1591933	1	2	3	4	5	6	7	8	9	10	11	12	13	14	4	15	15
8	1591933	1593330	1	2	3	4	5	6	7	8	9	10	11	12	11	13	4	14	14
8	1593330	1657033	1	2	3	4	5	6	7	8	9	10	2	11	2	12	4	13	13
8	1657033	1664519	1	2	1	3	4	5	6	7	8	9	2	10	2	11	3	2	11
8	1664519	1795678	1	2	1	3	4	5	6	7	8	9	2	10	2	11	12	2	12
8	1795678	1892325	1	2	1	3	4	5	6	7	8	9	2	10	2	10	11	2	11
8	1892325	1970621	1	1	1	2	3	4	5	6	7	8	9	10	9	10	11	1	11
8	1970621	1970682	1	1	1	2	3	4	5	6	7	8	9	10	11	10	12	1	12
8	1970682	1976480	1	2	2	3	4	5	6	7	8	9	10	11	12	13	14	2	14
8	1976480	1986613	1	2	2	3	4	5	6	7	8	9	10	11	12	13	1	2	13
8	1986613	2107599	1	2	2	3	4	5	6	7	8	9	10	11	12	6	1	2	12
8	2107599	2110689	1	2	2	3	4	5	6	7	6	8	9	10	11	6	1	2	11
8	2110689	2184785	1	2	2	3	4	5	6	7	6	8	9	10	7	6	1	2	10
8	2184785	2205407	1	2	2	3	4	5	6	7	6	8	9	10	7	11	1	2	11
8	2205407	2205844	1	2	2	3	4	2	5	6	5	7	8	9	6	10	1	2	10
8	2205844	2342186	1	2	3	4	5	3	6	7	6	8	9	10	7	11	1	2	11
8	2342186	2345226	1	2	3	4	5	3	6	7	6	8	9	10	7	11	1	12	12
8	2345226	2493622	1	2	3	4	5	3	6	7	6	8	9	10	7	11	1	2	11
8	2493622	2560564	1	2	3	4	5	3	6	7	6	8	9	10	7	11	1	12	12
8	2560564	2561492	1	2	3	4	5	3	6	7	6	8	9	10	7	11	1	3	11
8	2561492	2563044	1	2	3	4	5	3	6	7	8	9	10	11	7	12	1	3	12
8	2563044	2563089	1	2	3	4	5	6	7	8	9	10	11	12	8	13	1	6	13
8	2563089	2566940	1	2	3	4	5	6	7	8	9	10	11	12	8	13	14	6	14
8	2566940	2568278	1	2	3	4	5	6	7	8	9	10	1	11	8	12	13	6	13
8	2568278	2667735	1	2	3	4	5	6	7	8	9	10	1	11	8	12	5	6	12
8	2667735	2817366	1	2	3	4	5	6	7	8	9	10	1	11	12	13	5	6	13
8	2817366	2819916	1	2	3	4	5	6	7	8	9	10	1	11	12	13	14	6	14
8	2819916	2928598	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	6	15
8	2928598	2957963	1	2	3	4	5	6	7	8	9	10	11	12	13	14	6	6	14
8	2957963	3062721	1	2	3	4	5	6	7	8	9	10	11	12	13	14	6	15	15
